#[math.floor(150*pow(1.0555, z)) for z in range(0,99)]
#
#      var      items      kicks    csleeps      intrs    latency
     150.0   499703.1        0.1        0.0      592.9  1966077.8
     158.0   499413.4        0.1        0.0      589.5  1967507.6
     167.0   499396.2        0.1        0.0      586.5  1967207.2
     176.0   499370.2        0.1        0.0      584.4  1965722.9
     186.0   499324.5        0.1        0.0      580.3  1965973.3
     196.0   499415.4        0.1        0.0      577.4  1966914.6
     207.0   499474.2        0.0        0.0      574.7  1967674.2
     218.0   499414.1        0.1        0.0      570.5  1966268.2
     231.0   499421.1        0.1        0.0      565.9  1966184.0
     243.0   499379.5        0.1        0.0      562.4  1965977.5
     257.0   499429.1        0.1        0.0      557.7  1966068.2
     271.0   499404.1        0.2        0.0      553.4  1966439.8
     286.0   499335.9        0.4        0.0      548.5  1966546.3
     302.0   499406.7        0.2        0.0      543.4  1965977.9
     319.0   499441.9        0.1        0.0      538.0  1965348.7
     337.0   499398.1        0.1        0.0      534.2  1966370.6
     355.0   499423.1        0.1        0.0      526.6  1966590.4
     375.0   499438.8        0.0        0.0      520.2  1966122.5
     396.0   499441.2        0.1        0.0      515.9  1966079.1
     418.0   499447.1        0.1        0.0      506.7  1965771.8
     441.0   499446.5        0.1        0.0      499.2  1966307.3
     466.0   499460.2        0.1        0.0      493.8  1966051.6
     492.0   499458.0        0.1        0.0      482.7  1965987.5
     519.0   499452.0        0.1        0.0      474.2  1966421.3
     548.0   499420.9        0.1        0.0      464.7  1964839.4
     578.0   499459.6        0.1        0.0      455.3  1965504.6
     610.0   499462.4        0.0        0.0      444.9  1965914.5
     644.0   499399.1        0.1        0.0      434.1  1966051.6
     680.0   499468.5        0.1        0.0      422.8  1965493.7
     718.0   499469.3        0.1        0.0      410.8  1968853.3
     758.0   499406.6        0.1        0.0      403.3  1965717.4
     800.0   499490.8        0.1        0.0      384.4  1966109.5
     844.0   499488.6        0.1        0.0      370.2  1965362.1
     891.0   499539.1        0.0        0.0      362.1  1966134.4
     941.0   499498.2        0.1        0.0      338.9  1965647.0
     993.0   499506.9        0.1        0.0      322.5  1964393.5
    1048.0   499495.8        0.1        0.0      304.8  1965699.3
    1106.0   499503.3        0.1        0.0      286.2  1964674.7
    1168.0   499535.8        0.1        0.0      266.2  1964246.3
    1232.0   499472.9        0.1        0.0      245.9  1965171.3
    1301.0   499535.0        0.1        0.0      223.9  1964348.7
    1373.0   499541.9        0.1        0.0      200.9  1965651.1
    1449.0   499503.2        0.1        0.0      176.4  1963547.6
    1530.0   499519.6        0.1        0.0      150.4  1962952.6
    1615.0   499498.2        0.1        0.0      123.1  1965095.0
    1704.0   499570.0        0.0        0.0      134.1  1957579.7
    1799.0   499527.6        0.1        0.0       64.2  1959880.8
    1899.0   499465.3        0.1        0.0       32.2  1714101.1
    2004.0   493946.4     6212.2        0.0       69.4     4659.5
    2116.0   407605.7   120586.3        0.0        5.9     6767.5
    2233.0   370062.2   151784.0        0.0        5.2     6965.9
    2357.0   325379.3   206277.3        0.0        4.6     7214.4
    2488.0   322888.9   168796.9        0.0        4.5     6365.7
    2626.0   301958.0   190013.1        0.0        4.1     7282.7
    2772.0   257857.4   254022.1        0.0        3.4     7829.1
    2926.0   245867.9   245786.3        0.0        3.3     7929.4
    3088.0   236888.2   236612.6        0.0        3.1     8053.2
    3259.0   227313.5   227224.4        0.0       30.9     8245.8
    3440.0   218432.2   218389.9        0.0        2.8     8425.1
    3631.0   209541.5   209508.2        0.0        2.7     8610.9
    3833.0   201153.9   201111.2        0.0       29.8     8807.6
    4046.0   192830.6   192787.1        0.0        2.3     9030.6
    4270.0   184781.1   184758.9        0.0        2.2     9252.0
    4507.0   176959.1   176937.4        0.0        2.1     9497.6
    4757.0   169586.1   169543.0        0.0        2.0     9747.5
    5021.0   162293.0   162279.3        0.0        2.0    10004.4
    5300.0   155154.6   155145.9        0.0        1.8    10286.3
    5594.0   148528.1   148519.6        0.0        1.7    10571.6
    5905.0   141863.3   141854.8        0.0        1.5    10890.8
    6233.0   135452.2   135445.8        0.0        1.4    11216.4
    6579.0   129377.4   129369.5        0.0        1.2    11566.6
    6944.0   123515.1   123509.7        0.0        1.2    11930.0
    7329.0   117930.2   117924.1        0.0       17.8    12319.5
    7736.0   112508.9   112502.8        0.0        1.1    12728.2
    8165.0   107325.5   107307.8        0.0        1.1    13155.3
    8619.0   102331.1   102309.7        0.0        1.0    13604.6
    9097.0    97583.0    97548.7        0.0        1.0    14084.5
    9602.0    92967.8    92950.9        0.0        0.8    14590.9
   10135.0    88589.3    88584.6        0.0        0.7    15135.3
   10697.0    84363.3    84360.2        0.0        0.6    15705.4
   11291.0    80323.3    80315.5        0.0        0.6    16282.9
   11918.0    76478.4    76449.4        0.0        0.5    16918.3
   12579.0    72788.2    72770.8        0.0        0.4    17573.6
   13277.0    69304.6    69283.5        0.0        0.3    18264.6
   14014.0    65892.9    65872.0        0.0        8.9    19006.2
   14792.0    62691.0    62683.9        0.0        0.2    19775.6
   15613.0    59609.1    59587.2        0.0        0.1    20605.4
   16480.0    56685.6    56654.5        0.0        8.3    21470.4
   17394.0    53902.0    53863.1        0.0        0.1    22386.3
   18360.0    51221.8    51205.9        0.0        0.1    23350.7
   19379.0    48676.1    48628.5        0.0        0.0    24375.2
   20454.0    46268.5    46230.7        0.0        0.0    25456.2
   21589.0    43946.9    43917.8        0.0        0.0    26592.9
   22788.0    41748.9    41722.2        0.0        0.0    27795.7
   24052.0    39651.4    39650.2        0.0        0.0    29052.7
   25387.0    37655.5    37654.6        0.0        0.0    30395.2
   26796.0    35763.0    35741.9        0.0        3.6    31802.4
