# Taken with idle=poll and halt_poll_ns=0
4,3934,93060097193,-;virtpc: set Wp=2000ns
4,3935,93060097195,-;virtpc: set Wc=1000ns
4,3936,93060097196,-;virtpc: set Yp=4000ns
4,3937,93060097196,-;virtpc: set Yc=4000ns
4,3938,93060097197,-;virtpc: set D=60ns
4,3939,93065097189,-;PC: 1418 np 1999 wp 12774 yp 4 sleeps/s
4,3940,93070097182,-;PC: 1316 np 1999 wp 12626 yp 13 sleeps/s
4,3941,93075097175,-;PC: 1295 np 1999 wp 0 yp 0 sleeps/s
4,3942,93080097167,-;PC: 1331 np 1999 wp 0 yp 0 sleeps/s
4,3943,93085097160,-;PC: 1352 np 1999 wp 0 yp 0 sleeps/s
4,3944,93090097153,-;PC: 1340 np 1999 wp 0 yp 0 sleeps/s
4,3945,93095097145,-;PC: 1380 np 1999 wp 12752 yp 4 sleeps/s
4,3946,93100097138,-;PC: 1292 np 1999 wp 0 yp 0 sleeps/s
4,3947,93105097131,-;PC: 1279 np 1999 wp 0 yp 0 sleeps/s
4,3948,93110097124,-;PC: 1279 np 1999 wp 0 yp 0 sleeps/s
4,3949,93115097116,-;PC: 1284 np 1999 wp 0 yp 0 sleeps/s
4,3950,93119811500,-;virtpc: producer stops
4,3951,93119904505,-;virtpc: set Wp=2000ns
4,3952,93119904507,-;virtpc: set Wc=1000ns
4,3953,93119904508,-;virtpc: set Yp=24000ns
4,3954,93119904509,-;virtpc: set Yc=24000ns
4,3955,93119904509,-;virtpc: set D=60ns
4,3956,93124904502,-;PC: 1318 np 1999 wp 0 yp 0 sleeps/s
4,3957,93129904495,-;PC: 1274 np 1999 wp 0 yp 0 sleeps/s
4,3958,93134904491,-;PC: 1265 np 1999 wp 0 yp 0 sleeps/s
4,3959,93139904483,-;PC: 1272 np 1999 wp 0 yp 0 sleeps/s
4,3960,93144904477,-;PC: 1274 np 1999 wp 0 yp 0 sleeps/s
4,3961,93149904471,-;PC: 1270 np 1999 wp 0 yp 0 sleeps/s
4,3962,93154904464,-;PC: 1253 np 1999 wp 0 yp 0 sleeps/s
4,3963,93159904458,-;PC: 1267 np 1999 wp 0 yp 0 sleeps/s
4,3964,93164904452,-;PC: 1266 np 1999 wp 0 yp 0 sleeps/s
4,3965,93169904445,-;PC: 1322 np 1999 wp 0 yp 0 sleeps/s
4,3966,93174904439,-;PC: 1269 np 1999 wp 0 yp 0 sleeps/s
4,3967,93179618812,-;virtpc: producer stops
4,3968,93179711622,-;virtpc: set Wp=2000ns
4,3969,93179711624,-;virtpc: set Wc=1000ns
4,3970,93179711625,-;virtpc: set Yp=44000ns
4,3971,93179711626,-;virtpc: set Yc=44000ns
