4,476,560752539,-;virtpc: set Wp=2000ns
4,477,560752541,-;virtpc: set Wc=2000ns
4,478,560752542,-;virtpc: set Yp=5000ns
4,479,560752542,-;virtpc: set Yc=5000ns
4,480,560752543,-;virtpc: set D=60ns
4,481,565752534,-;PC: 1372 np 1999 wp
4,482,570752527,-;PC: 1225 np 1999 wp
4,483,575752518,-;PC: 1360 np 1999 wp
4,484,580752511,-;PC: 1363 np 1999 wp
4,485,585752503,-;PC: 1328 np 1999 wp
4,486,590752496,-;PC: 1376 np 2002 wp
4,487,595752490,-;PC: 1380 np 1999 wp
4,488,600752484,-;PC: 1392 np 1999 wp
4,489,605752477,-;PC: 1438 np 1999 wp
4,490,610752470,-;PC: 1399 np 2000 wp
4,491,615752462,-;PC: 1305 np 1999 wp
4,492,620466847,-;virtpc: producer stops
4,493,620559467,-;virtpc: set Wp=2007ns
4,494,620559469,-;virtpc: set Wc=2000ns
4,495,620559470,-;virtpc: set Yp=5000ns
4,496,620559471,-;virtpc: set Yc=5000ns
4,497,620559471,-;virtpc: set D=60ns
4,498,625559463,-;PC: 1006 np 2008 wp
4,499,630559455,-;PC: 1007 np 2006 wp
4,500,635559448,-;PC: 1008 np 2006 wp
4,501,640559440,-;PC: 1007 np 2006 wp
4,502,645559433,-;PC: 1004 np 2007 wp
4,503,650559425,-;PC: 1004 np 2006 wp
4,504,655559419,-;PC: 1006 np 2006 wp
4,505,660559410,-;PC: 1006 np 2006 wp
4,506,665559403,-;PC: 1007 np 2006 wp
4,507,670559395,-;PC: 1006 np 2006 wp
4,508,675559387,-;PC: 1004 np 2006 wp
4,509,680273775,-;virtpc: producer stops
4,510,680366311,-;virtpc: set Wp=2015ns
4,511,680366313,-;virtpc: set Wc=2000ns
4,512,680366314,-;virtpc: set Yp=5000ns
4,513,680366315,-;virtpc: set Yc=5000ns
4,514,680366315,-;virtpc: set D=60ns
4,515,685366307,-;PC: 972 np 2014 wp
4,516,690366299,-;PC: 975 np 2014 wp
